@RELATION Census

@ATTRIBUTE attribute_0 REAL
@ATTRIBUTE attribute_1 REAL
@ATTRIBUTE attribute_2 REAL
@ATTRIBUTE attribute_3 REAL
@ATTRIBUTE attribute_4 REAL
@ATTRIBUTE attribute_5 REAL
@ATTRIBUTE attribute_6 REAL
@ATTRIBUTE attribute_7 REAL
@ATTRIBUTE attribute_8 REAL
@ATTRIBUTE attribute_9 REAL
@ATTRIBUTE attribute_10 REAL
@ATTRIBUTE attribute_11 REAL
@ATTRIBUTE attribute_12 REAL
@ATTRIBUTE attribute_13 REAL
@ATTRIBUTE attribute_14 {0,1}

@DATA
39,6,77516,1,13,3,9,4,1,0,2174,0,40,1,1
50,2,83311,1,13,1,5,3,1,0,0,0,13,1,1
38,1,2.1565e+05,4,9,2,7,4,1,0,0,0,40,1,1
53,1,2.3472e+05,3,7,1,7,3,2,0,0,0,40,1,1
28,1,3.3841e+05,1,13,1,6,1,2,1,0,0,40,32,1
37,1,2.8458e+05,11,14,1,5,1,1,1,0,0,40,1,1
49,1,1.6019e+05,8,5,6,3,4,2,1,0,0,16,11,1
52,2,2.0964e+05,4,9,1,5,3,1,0,0,0,45,1,0
31,1,45781,11,14,3,6,4,1,1,14084,0,50,1,0
42,1,1.5945e+05,1,13,1,5,3,1,0,5178,0,40,1,0
37,1,2.8046e+05,2,10,1,5,3,2,0,0,0,80,1,0
30,6,1.413e+05,1,13,1,6,3,3,0,0,0,40,27,0
23,1,1.2227e+05,1,13,3,9,2,1,1,0,0,30,1,1
32,1,2.0502e+05,6,12,3,4,4,2,0,0,0,50,1,1
40,1,1.2177e+05,7,11,1,2,3,3,0,0,0,40,42,0
34,1,2.4549e+05,9,4,1,11,3,4,0,0,0,45,13,1
25,2,1.7676e+05,4,9,3,10,2,1,0,0,0,35,1,1
32,1,1.8682e+05,4,9,3,8,5,1,0,0,0,40,1,1
38,1,28887,3,7,1,4,3,1,0,0,0,50,1,1
43,2,2.9218e+05,11,14,2,5,5,1,1,0,0,45,1,0
40,1,1.9352e+05,14,16,1,6,3,1,0,0,0,60,1,0
54,1,3.0215e+05,4,9,4,3,5,2,1,0,0,20,1,1
35,4,76845,8,5,1,10,3,2,0,0,0,40,1,1
43,1,1.1704e+05,3,7,1,11,3,1,0,0,2042,40,1,1
59,1,1.0902e+05,4,9,2,1,5,1,1,0,0,40,1,1
56,5,2.1685e+05,1,13,1,1,3,1,0,0,0,40,1,0
19,1,1.6829e+05,4,9,3,2,2,1,0,0,0,40,1,1
54,9,1.8021e+05,2,10,1,15,3,3,0,0,0,60,30,0
39,1,3.6726e+05,4,9,2,5,4,1,0,0,0,80,1,1
49,1,1.9337e+05,4,9,1,2,3,1,0,0,0,40,1,1
23,5,1.9071e+05,6,12,3,13,4,1,0,0,0,52,1,1
20,1,2.6602e+05,2,10,3,4,2,2,0,0,0,44,1,1
45,1,3.8694e+05,1,13,2,5,2,1,0,0,1408,40,1,1
30,4,59951,2,10,1,9,2,1,0,0,0,40,1,1
22,6,3.1151e+05,2,10,1,3,3,2,0,0,0,15,1,1
48,1,2.4241e+05,3,7,3,8,5,1,0,0,0,40,4,1
21,1,1.972e+05,2,10,3,8,2,1,0,0,0,40,1,1
19,1,5.4409e+05,4,9,7,9,1,1,1,0,0,25,1,1
31,1,84154,2,10,1,4,3,1,0,0,0,38,42,0
48,2,2.6548e+05,6,12,1,6,3,1,0,0,0,40,1,1
31,1,5.0788e+05,8,5,1,8,3,1,0,0,0,43,1,1
53,2,88506,1,13,1,6,3,1,0,0,0,40,1,1
24,1,1.7299e+05,1,13,1,1,3,1,0,0,0,50,1,1
49,1,94638,4,9,4,9,5,1,1,0,0,40,1,1
25,1,2.8998e+05,4,9,3,7,4,1,0,0,0,35,1,1
57,4,3.379e+05,1,13,1,6,3,2,0,0,0,40,1,0
53,1,1.4436e+05,4,9,1,8,3,1,0,0,0,38,1,1
44,1,1.2835e+05,11,14,2,5,5,1,1,0,0,40,1,1
41,6,1.016e+05,7,11,1,2,3,1,0,0,0,40,1,1
